date,lat_zone,lon_zone,msl_min,msl_mean,t2m_min_C,t2m_mean_C,latitude,longitude,impacto_dana
2023-01-17,42.25,3.0,98914.875,99142.94020833333,3.545560000000023,7.789545416666688,42.25,3.0,Alto riesgo
2023-01-17,42.25,3.25,98901.875,99139.31520833333,7.36196000000001,9.975986666666689,42.25,3.25,Alto riesgo
2023-01-17,42.25,3.5,98887.125,99140.669375,8.217430000000036,11.030429166666693,42.25,3.5,Alto riesgo
2023-01-17,42.25,3.75,98871.375,99144.69020833333,8.436180000000036,11.575188750000018,42.25,3.75,Alto riesgo
2023-01-17,42.25,4.0,98853.375,99145.044375,8.994780000000048,11.92919375000002,42.25,4.0,Alto riesgo
2023-01-17,42.25,4.25,98840.875,99145.62770833333,9.235000000000014,12.12824958333336,42.25,4.25,Alto riesgo
2023-01-17,42.25,4.5,98832.375,99145.24229166668,9.606100000000026,12.24551541666669,42.25,4.5,Alto riesgo
2023-01-17,42.25,4.75,98821.06,99139.67979166668,10.12563,12.395990000000026,42.25,4.75,Alto riesgo
2023-01-17,42.25,5.0,98809.06,99134.25270833333,10.449850000000026,12.516922500000025,42.25,5.0,Alto riesgo
2023-01-17,42.5,1.75,98973.56,99359.638125,-10.13803999999999,-4.140794999999973,42.5,1.75,Alto riesgo
2023-01-17,42.5,2.0,98910.56,99293.50270833333,-8.706399999999974,-2.952804583333306,42.5,2.0,Alto riesgo
2023-01-17,42.5,2.25,98860.56,99184.58604166668,-3.874369999999999,0.5230241666666918,42.5,2.25,Alto riesgo
2023-01-17,42.5,2.5,98938.31,99156.106875,-1.7239699999999516,3.746982083333355,42.5,2.5,Alto riesgo
2023-01-17,42.5,2.75,98935.875,99142.19020833333,1.0807000000000355,5.919588750000024,42.5,2.75,Alto riesgo
2023-01-17,42.5,3.0,98922.375,99139.28395833333,4.958900000000028,8.263177083333355,42.5,3.0,Alto riesgo
2023-01-17,42.5,3.25,98921.125,99136.33604166668,8.488920000000007,10.420727500000028,42.5,3.25,Alto riesgo
2023-01-17,42.5,3.5,98902.625,99135.69020833333,9.94204000000002,11.507237500000024,42.5,3.5,Alto riesgo
2023-01-17,42.5,3.75,98878.375,99134.40895833333,10.264300000000048,11.75471500000002,42.5,3.75,Alto riesgo
2023-01-17,42.5,4.0,98861.875,99135.075625,10.42837000000003,11.919020000000025,42.5,4.0,Alto riesgo
2023-01-17,42.5,4.25,98848.125,99134.31520833333,10.694000000000017,12.107332500000028,42.5,4.25,Alto riesgo
2023-01-17,42.5,4.5,98835.375,99130.17979166668,10.721339999999998,12.183342083333356,42.5,4.5,Alto riesgo
2023-01-17,42.5,4.75,98821.875,99119.27354166668,10.717430000000036,12.194898750000029,42.5,4.75,Alto riesgo
2023-01-17,42.5,5.0,98808.31,99110.90895833333,10.87563,12.262526666666686,42.5,5.0,Alto riesgo
2023-01-17,42.75,1.0,98998.375,99383.40895833333,-7.24739999999997,-2.1768445833333083,42.75,1.0,Alto riesgo
2023-01-17,42.75,1.25,98960.375,99369.08604166668,-5.202499999999986,-1.6798570833333148,42.75,1.25,Alto riesgo
2023-01-17,42.75,1.5,98950.375,99362.00270833333,-7.938819999999964,-2.13224958333331,42.75,1.5,Alto riesgo
2023-01-17,42.75,1.75,98901.375,99317.25270833333,-6.720069999999964,-1.6332254166666378,42.75,1.75,Alto riesgo
2023-01-17,42.75,2.0,98875.31,99237.97145833333,-2.0970199999999863,0.8285250000000227,42.75,2.0,Alto riesgo
2023-01-17,42.75,2.25,98894.56,99208.575625,-0.1106999999999516,2.5668883333333525,42.75,2.25,Alto riesgo
2023-01-17,42.75,2.5,98952.81,99182.56520833333,1.8444000000000076,4.958247083333359,42.75,2.5,Alto riesgo
2023-01-17,42.75,2.75,98973.81,99170.21104166668,3.0057600000000093,6.914139166666686,42.75,2.75,Alto riesgo
2023-01-17,42.75,3.0,98938.625,99143.08604166668,4.70693,8.351392916666692,42.75,3.0,Alto riesgo
2023-01-17,42.75,3.25,98936.56,99136.22145833333,8.60537000000005,10.24063541666669,42.75,3.25,Alto riesgo
2023-01-17,42.75,3.5,98909.31,99130.46104166668,9.951800000000048,11.100498333333356,42.75,3.5,Alto riesgo
2023-01-17,42.75,3.75,98892.56,99128.97145833333,10.393200000000036,11.425855833333353,42.75,3.75,Alto riesgo
2023-01-17,42.75,4.0,98879.06,99127.075625,10.50454000000002,11.513341250000025,42.75,4.0,Alto riesgo
2023-01-17,42.75,4.25,98867.56,99124.00270833333,10.494780000000048,11.586177916666689,42.75,4.25,Alto riesgo
2023-01-17,42.75,4.5,98854.06,99112.11729166668,10.50063,11.68863291666669,42.75,4.5,Alto riesgo
2023-01-17,42.75,4.75,98838.81,99100.37770833333,10.436180000000036,11.760329583333355,42.75,4.75,Alto riesgo
2023-01-17,42.75,5.0,98823.81,99087.78395833333,10.260400000000004,11.796461666666689,42.75,5.0,Alto riesgo
2023-01-17,43.0,0.5,98970.31,99377.481875,-2.4837399999999548,1.81013416666669,43.0,0.5,Alto riesgo
2023-01-17,43.0,0.75,98946.875,99358.388125,-2.2024999999999864,2.094475416666685,43.0,0.75,Alto riesgo
2023-01-17,43.0,1.0,98923.875,99341.64854166668,-0.9856999999999516,2.511468750000029,43.0,1.0,Alto riesgo
2023-01-17,43.0,1.25,98910.125,99333.22145833333,-0.3899999999999863,2.945222916666687,43.0,1.25,Alto riesgo
2023-01-17,43.0,1.5,98907.875,99317.08604166668,-0.9212399999999548,2.9180425000000247,43.0,1.5,Alto riesgo
2023-01-17,43.0,1.75,98928.625,99299.09645833333,0.0299300000000357,3.2423429166666886,43.0,1.75,Alto riesgo
2023-01-17,43.0,2.0,98928.81,99269.013125,2.9635300000000484,4.679356250000029,43.0,2.0,Alto riesgo
2023-01-17,43.0,2.25,98939.81,99241.24229166668,2.0821800000000508,4.9372495833333545,43.0,2.25,Alto riesgo
2023-01-17,43.0,2.5,98948.81,99197.53395833333,2.8165500000000065,5.598625833333358,43.0,2.5,Alto riesgo
2023-01-17,43.0,2.75,98961.81,99171.12770833333,3.951070000000016,7.0087008333333545,43.0,2.75,Alto riesgo
2023-01-17,43.0,3.0,98950.81,99137.40895833333,5.064360000000022,8.20295708333336,43.0,3.0,Alto riesgo
2023-01-17,43.0,3.25,98930.06,99123.15895833333,7.999900000000025,9.404534583333357,43.0,3.25,Alto riesgo
2023-01-17,43.0,3.5,98907.31,99116.87770833333,9.319000000000017,10.381505000000024,43.0,3.5,Alto riesgo
2023-01-17,43.0,3.75,98896.31,99112.919375,9.62760000000003,10.721837500000024,43.0,3.75,Alto riesgo
2023-01-17,43.0,4.0,98888.06,99106.55479166668,9.719400000000007,10.953039166666686,43.0,4.0,Alto riesgo
2023-01-17,43.0,4.25,98875.31,99098.44020833333,9.697900000000004,11.026442500000025,43.0,4.25,Alto riesgo
2023-01-17,43.0,4.5,98871.31,99091.64854166668,9.805319999999996,11.14240958333336,43.0,4.5,Alto riesgo
2023-01-17,43.0,4.75,98861.81,99079.481875,9.809230000000014,11.160313750000023,43.0,4.75,Alto riesgo
2023-01-17,43.0,5.0,98846.31,99065.11729166668,9.811180000000036,11.315830000000023,43.0,5.0,Alto riesgo
2023-01-17,43.25,0.0,98970.56,99389.05479166668,2.3990699999999947,4.975905000000016,43.25,0.0,Alto riesgo
2023-01-17,43.25,0.25,98965.56,99374.67979166668,3.19106000000005,5.611972500000022,43.25,0.25,Alto riesgo
2023-01-17,43.25,0.5,98960.06,99355.52354166668,3.1246600000000058,5.404534583333351,43.25,0.5,Alto riesgo
2023-01-17,43.25,0.75,98944.375,99343.731875,3.5758299999999963,5.55817875000002,43.25,0.75,Alto riesgo
2023-01-17,43.25,1.0,98924.125,99326.49229166668,3.885400000000004,5.688958333333356,43.25,1.0,Alto riesgo
2023-01-17,43.25,1.25,98931.875,99319.83604166668,3.983060000000023,5.827141250000016,43.25,1.25,Alto riesgo
2023-01-17,43.25,1.5,98931.625,99301.81520833333,4.178370000000029,5.938957500000025,43.25,1.5,Alto riesgo
2023-01-17,43.25,1.75,98931.81,99290.77354166668,4.160799999999995,5.948399583333358,43.25,1.75,Alto riesgo
2023-01-17,43.25,2.0,98935.81,99295.231875,3.4869600000000105,5.250810000000016,43.25,2.0,Alto riesgo
2023-01-17,43.25,2.25,98944.31,99269.92979166668,2.965000000000032,4.983881666666697,43.25,2.25,Alto riesgo
2023-01-17,43.25,2.5,98945.06,99219.388125,3.5040500000000065,5.344070833333364,43.25,2.5,Alto riesgo
2023-01-17,43.25,2.75,98932.31,99151.40895833333,3.656400000000019,6.09618541666669,43.25,2.75,Alto riesgo
2023-01-17,43.25,3.0,98919.56,99112.200625,5.17960000000005,7.278804166666691,43.25,3.0,Alto riesgo
2023-01-17,43.25,3.25,98902.81,99097.36729166668,7.090480000000014,8.376457083333356,43.25,3.25,Alto riesgo
2023-01-17,43.25,3.5,98899.31,99089.08604166668,8.297500000000014,9.489170000000028,43.25,3.5,Alto riesgo
2023-01-17,43.25,3.75,98890.56,99084.34645833333,8.639300000000048,9.87653875000002,43.25,3.75,Alto riesgo
2023-01-17,43.25,4.0,98883.81,99077.64854166668,8.81510000000003,10.197014166666692,43.25,4.0,Alto riesgo
2023-01-17,43.25,4.25,98885.81,99074.919375,9.06313,10.39908250000002,43.25,4.25,Alto riesgo
2023-01-17,43.25,4.5,98885.31,99070.14854166668,9.184230000000014,10.486321666666692,43.25,4.5,Alto riesgo
2023-01-17,43.25,4.75,98867.125,99058.31520833333,9.088530000000048,10.412185000000024,43.25,4.75,Alto riesgo
2023-01-17,43.25,5.0,98855.375,99055.69020833333,7.994780000000048,9.745436666666704,43.25,5.0,Alto riesgo
2023-01-17,43.5,-0.75,98998.06,99397.62770833333,4.648830000000032,7.175204583333357,43.5,-0.75,Alto riesgo
2023-01-17,43.5,-0.5,98975.81,99384.59645833333,4.359770000000026,6.834466666666685,43.5,-0.5,Alto riesgo
2023-01-17,43.5,-0.25,98950.31,99362.72145833333,3.9202999999999975,6.356520833333359,43.5,-0.25,Alto riesgo
2023-01-17,43.5,0.0,98937.56,99338.94020833333,3.599270000000047,5.909743750000018,43.5,0.0,Alto riesgo
2023-01-17,43.5,0.25,98922.875,99321.30479166668,3.5465300000000184,5.804276666666695,43.5,0.25,Alto riesgo
2023-01-17,43.5,0.5,98900.875,99302.21104166668,3.477200000000039,5.597731666666692,43.5,0.5,Alto riesgo
2023-01-17,43.5,0.75,98897.375,99286.56520833333,3.4379000000000133,5.4680108333333495,43.5,0.75,Alto riesgo
2023-01-17,43.5,1.0,98905.625,99275.700625,3.635400000000004,5.578282083333353,43.5,1.0,Alto riesgo
2023-01-17,43.5,1.25,98911.81,99269.013125,3.733060000000023,5.715814166666696,43.5,1.25,Alto riesgo
2023-01-17,43.5,1.5,98913.56,99262.856875,3.8248500000000254,5.793450833333362,43.5,1.5,Alto riesgo
2023-01-17,43.5,1.75,98910.81,99268.981875,3.7857999999999943,5.706617083333349,43.5,1.75,Alto riesgo
